FECHA,CLAVE_EST,PARAMETRO,INVALIDA,HORA01,HORA02,HORA03,HORA04,HORA05,HORA06,HORA07,HORA08,HORA09,HORA10,HORA11,HORA12,HORA13,HORA14,HORA15,HORA16,HORA17,HORA18,HORA19,HORA20,HORA21,HORA22,HORA23,HORA24
01/01/11,CEN,NO,,0.523,0.512,0.492,0.532,0.536,0.531,0.436,0.095,0.191,0.031,0.016,0.009,0.008,0.007,0.008,0.007,0.008,0.008,0.009,0.011,0.013,0.109,0.221,0.300
01/01/11,CEN,NO2,,0.051,0.052,0.049,0.046,0.052,0.058,0.052,0.037,0.052,0.049,0.048,0.030,0.025,0.027,0.027,0.020,0.018,0.021,0.040,0.048,0.048,0.050,0.049,0.049
01/01/11,CEN,NOX,,0.533,0.534,0.527,0.534,0.534,0.534,0.451,0.127,0.242,0.072,0.054,0.030,0.023,0.024,0.023,0.015,0.014,0.017,0.037,0.049,0.051,0.154,0.267,0.347
01/01/11,CEN,O3,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.022,0.047,0.064,0.085,0.094,0.066,0.038,0.032,0.019,0.003,0.003,0.002,0.002,0.002
01/01/11,CEN,PM10,,97.2,5.7,180.8,352.6,390.6,408.3,417.2,98.6,231.8,181.9,254.2,51.2,0.3,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.
01/01/11,CEN,SO2,,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.
01/01/11,LDO,CO,,3.3,3.1,3.7,3.3,2.9,2.9,3.4,3.9,4.6,2.8,2.2,1.9,2.4,2.1,1.6,1.5,1.6,2.1,3.1,3.7,3.9,3.7,3.2,2.2
01/01/11,LDO,NO,,0.083,0.037,0.066,0.042,0.033,0.056,0.076,0.097,0.132,0.041,0.031,0.030,0.029,0.029,0.028,0.029,0.031,0.031,0.055,0.101,0.085,0.075,0.082,0.046
01/01/11,LDO,NO2,,0.035,0.028,0.033,0.030,0.026,0.022,0.022,0.027,0.031,0.028,0.017,0.015,0.015,0.015,0.011,0.010,0.013,0.015,0.037,0.047,0.043,0.041,0.039,0.036
01/01/11,LDO,NOX,,0.118,0.065,0.099,0.072,0.059,0.078,0.097,0.123,0.163,0.069,0.047,0.045,0.044,0.044,0.039,0.038,0.043,0.045,0.091,0.148,0.128,0.116,0.121,0.081
01/01/11,LDO,O3,,0.009,0.011,0.009,0.009,0.010,0.014,0.015,0.011,0.011,0.025,0.048,0.064,0.083,0.094,0.104,0.067,0.057,0.042,0.015,0.008,0.008,0.008,0.008,0.007
01/01/11,LDO,PM10,,148.3,62.3,78.8,61.9,42.5,41.0,77.6,135.4,125.4,135.2,108.7,86.4,60.7,62.2,80.7,70.0,45.6,50.5,76.5,88.5,100.7,70.3,93.7,73.0
01/01/11,LDO,SO2,,0.008,0.006,0.006,0.006,0.005,0.006,0.006,0.007,0.008,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.004,0.006,0.008,0.007,0.007,0.008,0.006
01/01/11,MIR,CO,,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.,Mant.
01/01/11,MIR,NO,,0.241,0.104,0.129,0.196,0.199,0.190,0.184,0.153,0.180,0.070,0.019,0.003,0.002,0.001,0.001,0.001,0.001,0.002,0.012,0.020,0.056,0.071,0.101,0.109
01/01/11,MIR,NO2,,0.046,0.043,0.039,0.038,0.038,0.045,0.046,0.037,0.061,0.084,0.050,0.030,0.026,0.024,0.016,0.012,0.012,0.016,0.033,0.046,0.048,0.048,0.046,0.046
01/01/11,MIR,NOX,,0.287,0.146,0.168,0.233,0.237,0.234,0.229,0.189,0.241,0.155,0.070,0.033,0.028,0.024,0.017,0.012,0.012,0.018,0.045,0.066,0.104,0.119,0.147,0.155
01/01/11,MIR,O3,,0.001,0.002,0.002,0.002,0.002,0.004,I.F.,0.000,0.000,0.001,0.020,0.064,0.088,0.100,0.066,0.047,0.043,0.036,0.011,0.002,0.000,0.001,"0,002","0,002"
01/01/11,MIR,PM10,,308.5,207.7,193.3,198.5,169.0,443.6,427.8,187.9,290.2,220.3,48.3,21.1,17.8,31.9,28.8,9.2,2.8,4.1,20.3,31.5,33.3,69.7,157.5,163.2
01/01/11,MIR,SO2,,0.038,0.029,0.030,0.032,0.031,0.035,0.036,0.025,0.031,0.024,0.015,0.010,0.008,0.006,0.004,0.003,0.002,0.002,0.005,0.007,0.010,0.014,0.017,0.019
01/01/11,OBL,CO,,7.2,5.1,3.9,4.0,3.9,4.1,2.4,2.4,1.0,0.1,1.0,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.8,1.5,1.3,3.6,4.1
01/01/11,OBL,NO,,0.255,0.161,0.116,0.111,0.135,0.130,0.058,0.060,0.025,0.006,0.010,0.006,0.006,0.003,0.003,0.003,0.001,0.001,0.000,0.013,0.035,0.032,0.129,0.156
01/01/11,OBL,NO2,,0.036,0.036,0.031,0.030,0.030,0.032,0.026,0.025,0.021,0.013,0.036,0.013,0.013,0.014,0.019,0.016,0.011,0.016,0.023,0.038,0.038,0.037,0.038,0.038
